Kennziffer,Raumeinheit,Aggregat,Verfgb. Ausbildungsstellen je 100 Bewerber,Verfgb. Ausbildungsstellen je 100 Bewerber (2012=100),"Entwicklung Erwerbsfähige (20-u.65 Jahre), (2015 = 100)",Durchschnittsalter Erwerbsfähige (20-u.65 Jahre) in Jahren,Durchschnittsalter Erwerbsfähige (20-u.65 Jahre) in Jahren,Entwicklung Durchschnittsalter Erwerbsfähige (20-u.65 Jahre) (2015 = 100),Ersatzquote (15-u.20-Jährige je 100 60-u.65-jährige Erwerbsfähige),Ersatzquote (15-u.20-Jährige je 100 60-u.65-jährige Erwerbsfähige),Entwicklung  Ersatzquote (2015 = 100),Alte Erwerbsfähige (50-u.65) je 100 junge Erwerbsfähige (20-u.30),Alte Erwerbsfähige (50-u.65) je 100 junge Erwerbsfähige (20-u.30),Entwicklung Alte Erwerbsfähige (50-u.65) je 100 junge Erwerbsfähige (20-u.30),Junge (unter 20-Jährige) und alte Einwohner (65 und älter) je 100 Einwohner,Junge (unter 20-Jährige) und alte Einwohner (65 und älter) je 100 Einwohner,Entwicklung Junge (unter 20-Jährige) und alte Einwohner (65 und älter) je 100 Einwohner,Junge (u. 20) und alte Einwohner (65+) je 100 Erwerbsfähige (15-64),Junge (u. 20) und alte Einwohner (65+) je 100 Erwerbsfähige (15-64),Entwicklung Junge (u. 20) und alte Einwohner (65+) je 100 Erwerbsfähige (15-64),JungeEinwohner  (u. 20) je 100 Einwohner,JungeEinwohner  (u. 20) je 100 Einwohner,Entwicklung JungeEinwohner  (u. 20) je 100 Einwohner,Alte Einwohner (65+) je 100 Einwohner,Alte Einwohner (65+) je 100 Einwohner,Entwicklung Alte Einwohner (65+) je 100 Einwohner,Regionales Bevölkerungspotenzial (von BBSR),Regionales Bevölkerungspotenzial (von BBSR),Entwicklung Regionales Bevölkerungspotenzial (von BBSR),Erreichbarkeit Agglomerationsräume PKW/Schiene,Erreichbarkeit Agglomerationsräume PKW/Schiene,Entwicklung Erreichbarkeit Agglomerationsräume PKW/Schiene,Hochrangige Verkehrsinfrastruktureinrichtungen (BBSR),Hochrangige Verkehrsinfrastruktureinrichtungen (BBSR),Entwicklung Hochrangige Verkehrsinfrastruktureinrichtungen (BBSR),Haushalte Breitband 50Mbit/s BBSR,Haushalte Breitband 50Mbit/s BBSR,Entwicklung Haushalte Breitband 50Mbit/s BBSR,Haushalte Breitband 100Mbit/s BBSR,Personaleinsatz Wissenstransfereinrichtungen BBSR
,,,2016,2012-16,2015-35,2015,2035,2015-35,2015,2035,2014-35,2015,2035,2015-35,2015,2035,2015-35,2015,2035,2015-35,2015,2035,2015-35,2015,2035,2015-35,1990,2015,1990-2015,2012,2017,2012-17,2012,2017,2012-17,2014,2017,2014-17,2017,2017
001,Husum,Arbeitsmarktregion,90.40829553,95.62999695,84.74904301,44.47137572,44.36005375,99.74967725,88.57623633,67.16216216,75.82413178,218.4755883,224.695076,102.8467655,42.24434467,49.48567277,117.1415326,66.41455576,90.05764524,135.5992586,18.46140545,16.33036761,88.45679523,23.78293923,33.15530515,139.4079379,69059.92335,73594.59769,106.5662893,175.3919138,172.521642,98.36350961,202.4655116,201.117095,99.33400183,35.49857408,66.60714711,187.6333031,48.5322477,7.270471397
002,Heide,Arbeitsmarktregion,98.30028329,102.1097298,80.78159815,44.77277215,44.60030556,99.61479581,87.64470169,70.91891892,80.91637891,229.9281664,231.6783701,100.7611959,43.15413437,51.30063383,118.8776802,68.69710105,95.98188084,139.7175126,18.80603128,17.27582768,91.86322951,24.34810309,34.02480615,139.7431497,110548.6566,115685.5931,104.6467652,128.5192595,125.2611054,97.46485149,106.4316739,103.2160879,96.97873206,43.87571417,71.83247977,163.7180867,51.40307282,5.879633549
003,Itzehoe,Arbeitsmarktregion,98.26086957,97.31199851,82.82111692,44.75895995,44.21092571,98.77558763,93.25870341,74.7458058,80.14887948,232.5918025,219.2952381,94.28330479,41.36400821,49.84097377,120.4935786,64.14346921,90.87288899,141.6713036,18.72212018,17.48013168,93.36619741,22.64188803,32.36084208,142.9246626,239235.8967,259940.3902,108.6544259,95.0753509,90.67298231,95.36960048,67.81074599,67.00298228,98.80879691,56.71911272,91.58633189,161.4734919,88.9364561,5.879633549
004,Flensburg,Arbeitsmarktregion,90.40785498,95.82950984,86.73009332,43.6499091,43.5162868,99.69387726,90.56248931,77.26318245,85.3147733,182.3620132,184.7595048,101.314688,41.23596066,48.7570757,118.2392138,64.00826926,87.08879055,136.0586555,18.69289006,17.63724441,94.35268893,22.5430706,31.11983129,138.0461067,146246.2159,153242.0746,104.7836169,150.0045386,144.6521076,96.43182062,114.1106417,119.1163639,104.3867269,61.35361439,68.4445817,111.557538,57.33224511,7.270471397
005,Lübeck,Arbeitsmarktregion,98.81556684,96.61783391,85.46518407,43.98270448,44.02207154,100.0895058,74.60395293,63.35324725,84.9194242,200.1333829,204.8880767,102.3757625,41.71321211,48.50174531,116.2742998,66.11914628,87.19727867,131.8790147,16.55051546,15.2934652,92.40476669,25.16269665,33.20828011,131.9742497,268185.2628,283884.8214,105.8539975,91.06396097,76.95524607,84.50680735,32.45173584,31.68722662,97.6441654,78.81012954,87.00865801,110.4028867,77.86233766,21.6578214
006,Kiel,Arbeitsmarktregion,96.96811291,97.89735481,85.33757286,43.22114011,43.22317211,100.0047014,85.50698058,71.59050233,83.72474603,169.3199297,174.1199767,102.8348979,39.7270683,46.73771499,117.6470276,60.6500992,81.1172002,133.7461954,17.73873813,16.39221459,92.40913569,21.98833016,30.34550039,138.0072983,275020.8424,288267.3322,104.8165403,110.21015,101.411542,92.01651759,77.13831129,77.58574635,100.5800426,76.26185166,85.01406155,111.4765242,76.17365008,109.3414618
007,Ratzeburg,Arbeitsmarktregion,102.3765996,100.0576666,93.17628092,44.71375975,44.34135115,99.16712753,92.78688525,71.96474939,77.5591822,242.7016467,228.7876982,94.26705641,41.66248369,48.27126723,115.862673,65.07762271,85.69732461,131.6847805,19.09763869,17.22849643,90.21270492,22.564845,31.0427708,137.5713895,370102.0549,416741.9376,112.6018978,69.08729024,68.81677627,99.6084461,69.61279038,69.26200145,99.49608552,70.73054328,92.63763441,130.9726041,87.50322581,8.765549018
008,Hamburg,Arbeitsmarktregion,98.05797379,100.4657303,94.15211501,42.64117767,43.13761904,101.16423,88.7918791,74.93957579,84.39913261,161.2002882,177.6268892,110.1901809,38.10802756,43.023587,112.899013,57.13870243,70.09853592,122.6813577,18.01721764,17.18419873,95.37653968,20.09080992,25.83938827,128.6129747,1089869.223,1203179.349,110.3966718,51.64694836,47.06187271,91.12227189,34.53460873,34.52225533,99.96422893,83.65194208,94.82466673,113.3562047,90.06101379,45.74849579
009,Braunschweig,Arbeitsmarktregion,103.8991597,101.6297297,84.21584077,43.17273949,43.25928831,100.200471,83.2373619,71.9927226,86.49087496,170.2783459,178.0686589,104.5750462,39.19698537,45.97187502,117.284211,59.56276631,78.83449883,132.3553349,17.49513867,16.35611382,93.48947797,21.7018467,29.6157612,136.4665487,414741.7516,415229.4618,100.1175937,71.01610105,68.16576213,95.98634834,63.20401455,63.12715576,99.87839571,82.54903369,90.23122677,109.306218,74.30817844,54.45036374
010,Salzgitter,Arbeitsmarktregion,103.588907,101.3512813,76.59251221,44.24177971,43.7031737,98.78258513,77.75394515,75.43307087,97.01510415,207.2815534,192.4137059,92.82722112,42.68862791,49.51720192,115.9962368,68.22330821,89.94802945,131.843547,17.94388067,17.13039125,95.46647996,24.74474723,32.38681067,130.8835785,382692.7,369849.6,96.64401751,95,92,96.84210526,76.736,76.736,100,63.39407663,90.45490196,142.686678,79.70392157,54.45036374
011,Wolfsburg,Arbeitsmarktregion,108.5933504,104.40401,83.11437753,43.90060425,43.95325827,100.1199392,84.57818377,79.91271526,94.48383933,202.0314111,206.9823311,102.4505694,39.72993248,47.40785823,119.3252927,60.52948755,82.53008669,136.3469113,18.8794926,17.72272442,93.87288525,20.85043988,29.6851338,142.3717388,259091.7946,268103.0673,103.4780232,65.7528237,57.91594684,88.0813075,81.98088995,81.9549183,99.96831988,61.50595359,80.45467626,130.8079488,60.0028777,54.45036374
012,Göttingen,Arbeitsmarktregion,98.03921569,95.83112524,76.56013504,43.01504595,42.57506467,98.97714563,78.567316,66.4949402,84.63435381,159.4269354,150.7700804,94.57001731,38.98412798,46.7506468,119.9222587,58.93988016,81.84868174,138.8680831,16.56826222,14.45766795,87.26122122,22.41586576,32.29297886,144.0630453,245290.4926,232059.296,94.60590729,89.36565482,89.25816414,99.87971813,108.538217,108.0152614,99.51818292,66.0452023,82.91591573,125.5441922,63.97873458,164.3208764
013,Goslar,Arbeitsmarktregion,103.5755479,95.29430476,77.23483391,44.48040272,44.0701262,99.0776241,68.94357234,56.30122951,81.66276797,210.6780458,204.7895903,97.20499801,42.57622625,49.28286886,115.7520833,68.43849888,90.56116132,132.3248797,15.06481072,13.43136512,89.15721123,27.51141553,35.85150374,130.3150095,246879.0716,223585.5553,90.56480724,102.5243832,101.8569134,99.34896475,122.7291547,124.6964432,101.6029513,72.26494535,89.27368421,123.5366384,69.96447368,54.45036374
014,Helmstedt,Arbeitsmarktregion,108.4437086,104.5240565,76.0316767,45.05236721,44.58494855,98.96249922,73.51214093,65.18811881,88.67667026,249.6108949,235.0691244,94.17422444,40.69089025,49.3285745,121.2275627,63.06097157,89.95337888,142.6450888,16.67980717,14.73592285,88.3458825,24.01108308,34.59265166,144.069518,241614.4252,230408.3945,95.36201918,78.41391635,75.79849603,96.66459674,83.91492383,83.90890257,99.99282457,56.91116212,86.20665597,151.4758314,48.82439126,54.45036374
