Kennziffer,Raumeinheit,Aggregat
,,
01001,"Flensburg, Stadt",krsfr. Stadt
01002,"Kiel, Stadt",krsfr. Stadt
01003,"Lübeck, Stadt",krsfr. Stadt
01004,"Neumünster, Stadt",krsfr. Stadt
01051,Dithmarschen,Landkreis
01053,Herzogtum Lauenburg,Landkreis
01054,Nordfriesland,Landkreis
01055,Ostholstein,Landkreis
01056,Pinneberg,Landkreis
01057,Plön,Landkreis
01058,Rendsburg-Eckernförde,Landkreis
01059,Schleswig-Flensburg,Landkreis
01060,Segeberg,Landkreis
01061,Steinburg,Landkreis
01062,Stormarn,Landkreis
02000,"Hamburg, Stadt",krsfr. Stadt
03101,"Braunschweig, Stadt",krsfr. Stadt
03102,"Salzgitter, Stadt",krsfr. Stadt
03103,"Wolfsburg, Stadt",krsfr. Stadt
03151,Gifhorn,Landkreis
03152,Göttingen,Landkreis
03153,Goslar,Landkreis
03154,Helmstedt,Landkreis
03155,Northeim,Landkreis
03156,Osterode am Harz,Landkreis
03157,Peine,Landkreis
03158,Wolfenbüttel,Landkreis
03241,Region Hannover,Landkreis
03251,Diepholz,Landkreis
03252,Hameln-Pyrmont,Landkreis
03254,Hildesheim,Landkreis
03255,Holzminden,Landkreis
03256,Nienburg (Weser),Landkreis
03257,Schaumburg,Landkreis
03351,Celle,Landkreis
03352,Cuxhaven,Landkreis
03353,Harburg,Landkreis
03354,Lüchow-Dannenberg,Landkreis
03355,Lüneburg,Landkreis
03356,Osterholz,Landkreis
03357,Rotenburg (Wümme),Landkreis
03358,Heidekreis,Landkreis
03359,Stade,Landkreis
03360,Uelzen,Landkreis
03361,Verden,Landkreis
03401,"Delmenhorst, Stadt",krsfr. Stadt
03402,"Emden, Stadt",krsfr. Stadt
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt
03404,"Osnabrück, Stadt",krsfr. Stadt
03405,"Wilhelmshaven, Stadt",krsfr. Stadt
03451,Ammerland,Landkreis
03452,Aurich,Landkreis
03453,Cloppenburg,Landkreis
03454,Emsland,Landkreis
03455,Friesland,Landkreis
03456,Grafschaft Bentheim,Landkreis
03457,Leer,Landkreis
03458,Oldenburg,Landkreis
03459,Osnabrück,Landkreis
03460,Vechta,Landkreis
03461,Wesermarsch,Landkreis
03462,Wittmund,Landkreis
04011,"Bremen, Stadt",krsfr. Stadt
04012,"Bremerhaven, Stadt",krsfr. Stadt
05111,"Düsseldorf, Stadt",krsfr. Stadt
05112,"Duisburg, Stadt",krsfr. Stadt
05113,"Essen, Stadt",krsfr. Stadt
05114,"Krefeld, Stadt",krsfr. Stadt
05116,"Mönchengladbach, Stadt",krsfr. Stadt
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt
05119,"Oberhausen, Stadt",krsfr. Stadt
05120,"Remscheid, Stadt",krsfr. Stadt
05122,"Solingen, Stadt",krsfr. Stadt
05124,"Wuppertal, Stadt",krsfr. Stadt
05154,Kleve,Landkreis
05158,Mettmann,Landkreis
05162,Rhein-Kreis Neuss,Landkreis
05166,Viersen,Landkreis
05170,Wesel,Landkreis
05314,"Bonn, Stadt",krsfr. Stadt
05315,"Köln, Stadt",krsfr. Stadt
05316,"Leverkusen, Stadt",krsfr. Stadt
05334,Städteregion Aachen,Landkreis
05358,Düren,Landkreis
05362,Rhein-Erft-Kreis,Landkreis
05366,Euskirchen,Landkreis
05370,Heinsberg,Landkreis
05374,Oberbergischer Kreis,Landkreis
05378,Rheinisch-Bergischer Kreis,Landkreis
05382,Rhein-Sieg-Kreis,Landkreis
05512,"Bottrop, Stadt",krsfr. Stadt
05513,"Gelsenkirchen, Stadt",krsfr. Stadt
05515,"Münster, Stadt",krsfr. Stadt
05554,Borken,Landkreis
05558,Coesfeld,Landkreis
05562,Recklinghausen,Landkreis
05566,Steinfurt,Landkreis
05570,Warendorf,Landkreis
05711,"Bielefeld, Stadt",krsfr. Stadt
05754,Gütersloh,Landkreis
05758,Herford,Landkreis
05762,Höxter,Landkreis
05766,Lippe,Landkreis
05770,Minden-Lübbecke,Landkreis
05774,Paderborn,Landkreis
05911,"Bochum, Stadt",krsfr. Stadt
05913,"Dortmund, Stadt",krsfr. Stadt
05914,"Hagen, Stadt",krsfr. Stadt
05915,"Hamm, Stadt",krsfr. Stadt
05916,"Herne, Stadt",krsfr. Stadt
05954,Ennepe-Ruhr-Kreis,Landkreis
05958,Hochsauerlandkreis,Landkreis
05962,Märkischer Kreis,Landkreis
05966,Olpe,Landkreis
05970,Siegen-Wittgenstein,Landkreis
05974,Soest,Landkreis
05978,Unna,Landkreis
06411,"Darmstadt, Stadt",krsfr. Stadt
06412,"Frankfurt am Main, Stadt",krsfr. Stadt
06413,"Offenbach am Main, Stadt",krsfr. Stadt
06414,"Wiesbaden, Stadt",krsfr. Stadt
06431,Bergstraße,Landkreis
06432,Darmstadt-Dieburg,Landkreis
06433,Groß-Gerau,Landkreis
06434,Hochtaunuskreis,Landkreis
06435,Main-Kinzig-Kreis,Landkreis
06436,Main-Taunus-Kreis,Landkreis
06437,Odenwaldkreis,Landkreis
06438,Offenbach,Landkreis
06439,Rheingau-Taunus-Kreis,Landkreis
06440,Wetteraukreis,Landkreis
06531,Gießen,Landkreis
06532,Lahn-Dill-Kreis,Landkreis
06533,Limburg-Weilburg,Landkreis
06534,Marburg-Biedenkopf,Landkreis
06535,Vogelsbergkreis,Landkreis
