KRS_15,AMR_12,AMR_20,ROR11,Bundesland_ID,AMR_15,Bund,Ost_West,ROR11_Name,KRS_15_Name,AMR_12_Name,Bundesland_ID_Name,AMR_20_Name,AMR_15_Name
01001,004,001,0102,01,004,1,1,Schleswig-Holstein Nord,"Flensburg, Stadt",Flensburg,Schleswig-Holstein,Flensburg,Flensburg
01002,006,002,0101,01,006,1,1,Schleswig-Holstein Mitte,"Kiel, Stadt",Kiel,Schleswig-Holstein,Kiel,Kiel
01003,005,003,0103,01,005,1,1,Schleswig-Holstein Ost,"Lübeck, Stadt",Lübeck,Schleswig-Holstein,Lübeck,Lübeck
01004,006,004,0101,01,006,1,1,Schleswig-Holstein Mitte,"Neumünster, Stadt",Kiel,Schleswig-Holstein,Neumünster,Kiel
01051,002,005,0105,01,002,1,1,Schleswig-Holstein Süd-West,Dithmarschen,Heide,Schleswig-Holstein,Dithmarschen,Heide
01053,007,009,0104,01,007,1,1,Schleswig-Holstein Süd,Herzogtum Lauenburg,Ratzeburg,Schleswig-Holstein,Herzogtum Lauenburg,Ratzeburg
01054,001,006,0102,01,001,1,1,Schleswig-Holstein Nord,Nordfriesland,Husum,Schleswig-Holstein,Nordfriesland,Husum
01055,005,003,0103,01,005,1,1,Schleswig-Holstein Ost,Ostholstein,Lübeck,Schleswig-Holstein,Lübeck,Lübeck
01056,008,007,0104,01,008,1,1,Schleswig-Holstein Süd,Pinneberg,Hamburg,Schleswig-Holstein,Segeberg,Hamburg
01057,006,002,0101,01,006,1,1,Schleswig-Holstein Mitte,Plön,Kiel,Schleswig-Holstein,Kiel,Kiel
01058,006,002,0101,01,006,1,1,Schleswig-Holstein Mitte,Rendsburg-Eckernförde,Kiel,Schleswig-Holstein,Kiel,Kiel
01059,004,001,0102,01,004,1,1,Schleswig-Holstein Nord,Schleswig-Flensburg,Flensburg,Schleswig-Holstein,Flensburg,Flensburg
01060,008,008,0104,01,008,1,1,Schleswig-Holstein Süd,Segeberg,Hamburg,Schleswig-Holstein,Steinburg,Hamburg
01061,003,007,0105,01,003,1,1,Schleswig-Holstein Süd-West,Steinburg,Itzehoe,Schleswig-Holstein,Segeberg,Itzehoe
01062,008,009,0104,01,008,1,1,Schleswig-Holstein Süd,Stormarn,Hamburg,Schleswig-Holstein,Herzogtum Lauenburg,Hamburg
02000,008,010,0201,02,008,1,1,Hamburg,"Hamburg, Stadt",Hamburg,Hamburg,Hamburg,Hamburg
03101,009,011,0301,03,009,1,1,Braunschweig,"Braunschweig, Stadt",Braunschweig,Niedersachsen,Wolfsburg,Braunschweig
03102,010,011,0301,03,010,1,1,Braunschweig,"Salzgitter, Stadt",Salzgitter,Niedersachsen,Wolfsburg,Salzgitter
03103,011,011,0301,03,011,1,1,Braunschweig,"Wolfsburg, Stadt",Wolfsburg,Niedersachsen,Wolfsburg,Wolfsburg
03151,011,011,0301,03,011,1,1,Braunschweig,Gifhorn,Wolfsburg,Niedersachsen,Wolfsburg,Wolfsburg
03152,012,013,0305,03,012,1,1,Göttingen,Göttingen,Göttingen,Niedersachsen,Göttingen,Göttingen
03153,013,012,0301,03,013,1,1,Braunschweig,Goslar,Goslar,Niedersachsen,Goslar,Goslar
03154,014,011,0301,03,014,1,1,Braunschweig,Helmstedt,Helmstedt,Niedersachsen,Wolfsburg,Helmstedt
03155,015,013,0305,03,015,1,1,Göttingen,Northeim,Einbeck,Niedersachsen,Göttingen,Einbeck
03156,016,013,0305,03,012,1,1,Göttingen,Osterode am Harz,Osterode,Niedersachsen,Göttingen,Göttingen
03157,009,011,0301,03,009,1,1,Braunschweig,Peine,Braunschweig,Niedersachsen,Wolfsburg,Braunschweig
03158,009,011,0301,03,009,1,1,Braunschweig,Wolfenbüttel,Braunschweig,Niedersachsen,Wolfsburg,Braunschweig
03241,017,014,0307,03,017,1,1,Hannover,Region Hannover,Hannover,Niedersachsen,Hannover,Hannover
03251,018,015,0302,03,018,1,1,Bremen-Umland,Diepholz,Sulingen,Niedersachsen,Diepholz,Sulingen
03252,019,016,0308,03,019,1,1,Hildesheim,Hameln-Pyrmont,Hameln,Niedersachsen,Hameln-Pyrmont,Hameln
03254,020,014,0308,03,020,1,1,Hildesheim,Hildesheim,Hildesheim,Niedersachsen,Hannover,Hildesheim
03255,021,017,0305,03,021,1,1,Göttingen,Holzminden,Holzminden,Niedersachsen,Holzminden,Holzminden
03256,022,018,0307,03,022,1,1,Hannover,Nienburg (Weser),Nienburg,Niedersachsen,Nienburg (Weser),Nienburg
03257,023,014,0307,03,023,1,1,Hannover,Schaumburg,Stadthagen,Niedersachsen,Hannover,Stadthagen
03351,024,014,0313,03,024,1,1,Südheide,Celle,Celle,Niedersachsen,Hannover,Celle
03352,043,019,0303,03,043,1,1,Bremerhaven,Cuxhaven,Bremerhaven,Niedersachsen,Lüchow-Dannenberg,Bremerhaven
03353,008,020,0306,03,008,1,1,Hamburg-Umland-Süd,Harburg,Hamburg,Niedersachsen,Rotenburg (Wümme),Hamburg
03354,029,021,0309,03,029,1,1,Lüneburg,Lüchow-Dannenberg,Uelzen,Niedersachsen,Heidekreis,Uelzen
03355,025,022,0309,03,025,1,1,Lüneburg,Lüneburg,Lüneburg,Niedersachsen,Stade,Lüneburg
03356,042,023,0302,03,042,1,1,Bremen-Umland,Osterholz,Bremen,Niedersachsen,Uelzen,Bremen
03357,026,024,0306,03,026,1,1,Hamburg-Umland-Süd,Rotenburg (Wümme),Zeven,Niedersachsen,Verden,Zeven
03358,027,025,0313,03,027,1,1,Südheide,Heidekreis,Soltau,Niedersachsen,Emden,Soltau
03359,028,026,0306,03,028,1,1,Hamburg-Umland-Süd,Stade,Stade,Niedersachsen,Oldenburg (Oldenburg),Stade
03360,029,027,0309,03,029,1,1,Lüneburg,Uelzen,Uelzen,Niedersachsen,Osnabrück,Uelzen
03361,030,028,0302,03,030,1,1,Bremen-Umland,Verden,Verden,Niedersachsen,Wilhelmshaven,Verden
03401,042,029,0302,03,042,1,1,Bremen-Umland,"Delmenhorst, Stadt",Bremen,Niedersachsen,Cloppenburg,Bremen
03402,031,030,0312,03,031,1,1,Ost-Friesland,"Emden, Stadt",Emden,Niedersachsen,Emsland,Emden
03403,033,031,0310,03,033,1,1,Oldenburg,"Oldenburg (Oldenburg), Stadt",Oldenburg,Niedersachsen,Leer,Oldenburg
03404,034,032,0311,03,034,1,1,Osnabrück,"Osnabrück, Stadt",Osnabrück,Niedersachsen,Vechta,Osnabrück
03405,035,033,0312,03,035,1,1,Ost-Friesland,"Wilhelmshaven, Stadt",Wilhelmshaven,Niedersachsen,Wesermarsch,Wilhelmshaven
03451,032,031,0310,03,032,1,1,Oldenburg,Ammerland,Westerstede,Niedersachsen,Leer,Westerstede
03452,031,030,0312,03,031,1,1,Ost-Friesland,Aurich,Emden,Niedersachsen,Emsland,Emden
03453,036,034,0310,03,036,1,1,Oldenburg,Cloppenburg,Cloppenburg,Niedersachsen,Wittmund,Cloppenburg
03454,037,035,0304,03,037,1,1,Emsland,Emsland,Lingen,Niedersachsen,Bremen,Lingen
03455,035,033,0312,03,035,1,1,Ost-Friesland,Friesland,Wilhelmshaven,Niedersachsen,Wesermarsch,Wilhelmshaven
03456,038,035,0304,03,038,1,1,Emsland,Grafschaft Bentheim,Nordhorn,Niedersachsen,Bremen,Nordhorn
03457,039,036,0312,03,039,1,1,Ost-Friesland,Leer,Leer,Niedersachsen,Bremerhaven,Leer
03458,033,031,0310,03,033,1,1,Oldenburg,Oldenburg,Oldenburg,Niedersachsen,Leer,Oldenburg
03459,034,032,0311,03,034,1,1,Osnabrück,Osnabrück,Osnabrück,Niedersachsen,Vechta,Osnabrück
03460,040,037,0311,03,040,1,1,Osnabrück,Vechta,Vechta,Niedersachsen,Düsseldorf,Vechta
03461,041,038,0303,03,041,1,1,Bremerhaven,Wesermarsch,Nordenham,Niedersachsen,Duisburg,Nordenham
03462,035,039,0312,03,035,1,1,Ost-Friesland,Wittmund,Wilhelmshaven,Niedersachsen,Essen,Wilhelmshaven
04011,042,040,0401,04,042,1,1,Bremen,"Bremen, Stadt",Bremen,Bremen,Mönchengladbach,Bremen
04012,043,041,0303,04,043,1,1,Bremerhaven,"Bremerhaven, Stadt",Bremerhaven,Bremen,Wuppertal,Bremerhaven
05111,045,042,0508,05,045,1,1,Düsseldorf,"Düsseldorf, Stadt",Düsseldorf,Nordrhein-Westfalen,Solingen,Düsseldorf
05112,046,043,0507,05,046,1,1,Duisburg/Essen,"Duisburg, Stadt",Duisburg,Nordrhein-Westfalen,Kleve,Duisburg
05113,047,044,0507,05,047,1,1,Duisburg/Essen,"Essen, Stadt",Essen,Nordrhein-Westfalen,Köln,Essen
05114,048,042,0508,05,048,1,1,Düsseldorf,"Krefeld, Stadt",Krefeld,Nordrhein-Westfalen,Solingen,Krefeld
05116,050,045,0508,05,050,1,1,Düsseldorf,"Mönchengladbach, Stadt",Mönchengladbach,Nordrhein-Westfalen,Aachen ,Mönchengladbach
05117,047,044,0507,05,047,1,1,Duisburg/Essen,"Mülheim an der Ruhr, Stadt",Essen,Nordrhein-Westfalen,Köln,Essen
05119,046,043,0507,05,046,1,1,Duisburg/Essen,"Oberhausen, Stadt",Duisburg,Nordrhein-Westfalen,Kleve,Duisburg
05120,054,046,0508,05,054,1,1,Düsseldorf,"Remscheid, Stadt",Remscheid,Nordrhein-Westfalen,Oberbergischer Kreis,Remscheid
05122,052,042,0508,05,052,1,1,Düsseldorf,"Solingen, Stadt",Wuppertal,Nordrhein-Westfalen,Solingen,Wuppertal
05124,052,046,0508,05,052,1,1,Düsseldorf,"Wuppertal, Stadt",Wuppertal,Nordrhein-Westfalen,Oberbergischer Kreis,Wuppertal
05154,055,047,0507,05,055,1,1,Duisburg/Essen,Kleve,Kleve,Nordrhein-Westfalen,"Münster, Kreisfreie Stadt",Kleve
05158,045,042,0508,05,045,1,1,Düsseldorf,Mettmann,Düsseldorf,Nordrhein-Westfalen,Solingen,Düsseldorf
05162,045,042,0508,05,045,1,1,Düsseldorf,Rhein-Kreis Neuss,Düsseldorf,Nordrhein-Westfalen,Solingen,Düsseldorf
05166,049,045,0508,05,049,1,1,Düsseldorf,Viersen,Viersen,Nordrhein-Westfalen,Aachen ,Viersen
05170,046,043,0507,05,046,1,1,Duisburg/Essen,Wesel,Duisburg,Nordrhein-Westfalen,Kleve,Duisburg
05314,059,048,0505,05,059,1,1,Bonn,"Bonn, Stadt",Bonn,Nordrhein-Westfalen,Borken,Bonn
05315,057,048,0510,05,057,1,1,Köln,"Köln, Stadt",Köln,Nordrhein-Westfalen,Borken,Köln
05316,058,048,0510,05,058,1,1,Köln,"Leverkusen, Stadt",Leverkusen,Nordrhein-Westfalen,Borken,Leverkusen
05334,056,049,0501,05,056,1,1,Aachen,Städteregion Aachen,Aachen,Nordrhein-Westfalen,Recklinghausen,Aachen
05358,060,049,0501,05,060,1,1,Aachen,Düren,Düren,Nordrhein-Westfalen,Recklinghausen,Düren
05362,057,048,0510,05,057,1,1,Köln,Rhein-Erft-Kreis,Köln,Nordrhein-Westfalen,Borken,Köln
05366,061,048,0501,05,061,1,1,Aachen,Euskirchen,Euskirchen,Nordrhein-Westfalen,Borken,Euskirchen
05370,051,049,0501,05,051,1,1,Aachen,Heinsberg,Heinsberg,Nordrhein-Westfalen,Recklinghausen,Heinsberg
05374,062,050,0510,05,062,1,1,Köln,Oberbergischer Kreis,Gummersbach,Nordrhein-Westfalen,Bielefeld,Gummersbach
05378,057,048,0510,05,057,1,1,Köln,Rheinisch-Bergischer Kreis,Köln,Nordrhein-Westfalen,Borken,Köln
05382,059,048,0505,05,059,1,1,Bonn,Rhein-Sieg-Kreis,Bonn,Nordrhein-Westfalen,Borken,Bonn
