Kennziffer,Raumeinheit,Aggregat,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Fläche
,,,2011,2012,2013,2014,2015,2016,2017,2011,2012,2013,2014,2015,2016,2017,2011,2012,2013,2014,2015,2011,2012,2013,2014,2015,2015
01001,"Flensburg, Stadt",krsfr. Stadt,55475.0000,55895.0000,56356.0000,56933.0000,57844.0000,58697.0000,59347.0000,82801.0000,83462.0000,83971.0000,84694.0000,85942.0000,87432.0000,88519.0000,43470.0000,45194.0000,46892.0000,48233.0000,48883.0000,25551.0000,25981.0000,27016.0000,27702.0000,28762.0000,56.7400
01002,"Kiel, Stadt",krsfr. Stadt,165486.0000,167316.0000,168440.0000,169392.0000,171309.0000,171545.0000,171564.0000,237667.0000,239866.0000,241533.0000,243148.0000,246306.0000,247441.0000,247943.0000,124749.0000,125777.0000,128137.0000,130096.0000,131888.0000,76085.0000,78134.0000,80005.0000,81444.0000,83336.0000,118.6500
01003,"Lübeck, Stadt",krsfr. Stadt,135918.0000,136723.0000,137776.0000,138445.0000,139661.0000,139546.0000,138974.0000,210679.0000,211713.0000,212958.0000,214420.0000,216253.0000,216712.0000,216318.0000,105002.0000,105631.0000,106817.0000,108517.0000,109687.0000,65635.0000,67402.0000,69777.0000,71336.0000,73437.0000,214.2100
01004,"Neumünster, Stadt",krsfr. Stadt,49725.0000,49503.0000,49591.0000,49749.0000,50988.0000,51262.0000,50756.0000,77201.0000,76951.0000,77058.0000,77588.0000,79197.0000,79680.0000,79335.0000,39747.0000,39689.0000,40162.0000,40569.0000,41060.0000,24512.0000,25014.0000,25751.0000,26311.0000,26992.0000,71.6300
01051,Dithmarschen,Landkreis,84105.0000,84053.0000,83935.0000,83721.0000,83941.0000,83923.0000,83559.0000,133487.0000,132965.0000,132665.0000,132685.0000,132917.0000,133560.0000,133447.0000,64754.0000,64882.0000,65829.0000,66102.0000,66638.0000,40747.0000,41175.0000,42844.0000,43459.0000,44315.0000,1428.1300
01053,Herzogtum Lauenburg,Landkreis,119683.0000,120205.0000,120763.0000,121882.0000,123474.0000,124434.0000,124690.0000,187296.0000,187905.0000,189043.0000,190703.0000,192999.0000,195063.0000,196074.0000,97383.0000,97862.0000,99855.0000,100645.0000,101656.0000,64323.0000,65716.0000,67143.0000,68674.0000,70054.0000,1263.0100
01054,Nordfriesland,Landkreis,103611.0000,103184.0000,103133.0000,103357.0000,104636.0000,104915.0000,104743.0000,163029.0000,162237.0000,161923.0000,162203.0000,163960.0000,164926.0000,165462.0000,81172.0000,85494.0000,88909.0000,89217.0000,90509.0000,52811.0000,53448.0000,55213.0000,57010.0000,58133.0000,2082.7600
01055,Ostholstein,Landkreis,122813.0000,122677.0000,122342.0000,122258.0000,122753.0000,123026.0000,122358.0000,197960.0000,197882.0000,197835.0000,198355.0000,199574.0000,200813.0000,200584.0000,98071.0000,98464.0000,99831.0000,100692.0000,101560.0000,63264.0000,64743.0000,66442.0000,67496.0000,68436.0000,1392.5500
01056,Pinneberg,Landkreis,190876.0000,192047.0000,193598.0000,195249.0000,197361.0000,198867.0000,199922.0000,297307.0000,298826.0000,301223.0000,304087.0000,307471.0000,310653.0000,312662.0000,159048.0000,159556.0000,163241.0000,165646.0000,167705.0000,107847.0000,111565.0000,113801.0000,115992.0000,118633.0000,664.2800
01057,Plön,Landkreis,79425.0000,78868.0000,78601.0000,78519.0000,79325.0000,79251.0000,79029.0000,127212.0000,126721.0000,126643.0000,126865.0000,128304.0000,128703.0000,128842.0000,63106.0000,63028.0000,63964.0000,64164.0000,64880.0000,40216.0000,40770.0000,41946.0000,42716.0000,43265.0000,1083.1700
01058,Rendsburg-Eckernförde,Landkreis,171941.0000,171341.0000,171048.0000,170910.0000,171770.0000,172330.0000,172378.0000,268846.0000,268058.0000,268075.0000,268628.0000,270378.0000,272337.0000,273022.0000,134185.0000,133965.0000,134860.0000,136538.0000,137465.0000,86298.0000,87596.0000,90181.0000,91295.0000,92591.0000,2189.1700
01059,Schleswig-Flensburg,Landkreis,124425.0000,123931.0000,123728.0000,123854.0000,124487.0000,124948.0000,125042.0000,195721.0000,194911.0000,195135.0000,195593.0000,196839.0000,198685.0000,199503.0000,94453.0000,98928.0000,102312.0000,102385.0000,102661.0000,58651.0000,59556.0000,61740.0000,62773.0000,64106.0000,2071.3400
