,,Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Langname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Berechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Einheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anmerkungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quelle,von INKAR,von INKAR,von INKAR,,,,,,,,,,,,,,von INKAR,,,,,,,,von INKAR,,,,,,,,,,,,,,,
,,Standardisierung,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennziffer,Raumeinheit,Aggregat,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche
,,,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
01001,"Flensburg, Stadt",krsfr. Stadt,55475.0000,55895.0000,56356.0000,56356.0000,56933.0000,57844.0000,58697.0000,59347.0000,43470.0000,45371.6814,46891.8919,48447.6190,48700.0000,49944.4444,50696.6292,51855.4217,25551.0000,26557.0000,27016.0000,27702.0000,28762.0000,29549.0000,30733.0000,31610.0000,82801.0000,82835.0000,83305.0000,84122.0000,84963.0000,86556.0000,87770.0000,88701.0000,56.7400,56.7400,56.7400,56.7400,56.7400,56.7400,56.7400,56.7400
01002,"Kiel, Stadt",krsfr. Stadt,165486.0000,167316.0000,168440.0000,168440.0000,169392.0000,171309.0000,171545.0000,171564.0000,124749.0000,126059.4059,128137.2549,129792.0792,131535.3535,132649.4845,135659.3407,138182.9268,76085.0000,78691.0000,80005.0000,81444.0000,83336.0000,86642.0000,88428.0000,90376.0000,237667.0000,237906.0000,239873.0000,241298.0000,244549.0000,246242.0000,247135.0000,247527.0000,118.6500,118.6500,118.6500,118.6500,118.6500,118.6500,118.6500,118.6500
