,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
,,Langname,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen an den Wahlberechtigten in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,Anteil der Zweitstimmen AfD an den Zweitstimmen in %,Preisniveau,Preisniveau,Preisniveau,Preisniveau,Verpflichtungsrahmen Städtebauförderung insgesamt (langfristig) in € je Einwohner,Verpflichtungsrahmen Städtebauförderung insgesamt (kurzfristig) in € je Einwohner,Bewilligte Zuschüsse Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur einzelbetrieblich' (langfristig) in € je Einwohner,Bewilligte Zuschüsse Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur einzelbetrieblich' (kurzfristig) in € je Einwohner,Bewilligte Zuschüsse Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur Infrastruktur' (langfristig) in € je Einwohner,Bewilligte Zuschüsse Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur Infrastruktur' (kurzfristig) in € je Einwohner,"Ist-Ausgaben 'Gemeinschaftsaufgabe Hochschulbau', Forschungsbauten, Großgeräteförderung und Bewilligungen Exzellenzinitiative und Hochschulpakt (langfristig) in € je Einwohner","Ist-Ausgaben 'Gemeinschaftsaufgabe Hochschulbau', Forschungsbauten, Großgeräteförderung und Bewilligungen Exzellenzinitiative und Hochschulpakt (langfristig) in € je Einwohner",Zuschüsse für arbeitsmarktpolitische Hilfen (langfristig) in € je Einwohner,Zuschüsse für arbeitsmarktpolitische Hilfen (kurzfristig) in € je Einwohner,Ist-Ausgaben direkte Projektförderung ausgewählter Ressorts (langfristig) in € je Einwohner,Ist-Ausgaben direkte Projektförderung ausgewählter Ressorts (kurzfristig) in € je Einwohner
,,Berechnung,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,gültige Zweitstimmen AfD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,-,-,-,-,Finanzhilfen Städtebauförderung / E ,Finanzhilfen Städtebauförderung / E ,"Bewilligte Zuschüsse einschließlich Kofinanzierung Gemeinschaftsaufgabe „Verbesserung der regionalen Wirtschaftsstruktur – einzelbetrieblich"" / E ","Bewilligte Zuschüsse einschließlich Kofinanzierung Gemeinschaftsaufgabe „Verbesserung der regionalen Wirtschaftsstruktur – einzelbetrieblich"" / E ","Bewilligte Zuschüsse einschließlich Kofinanzierung Gemeinschaftsaufgabe „Verbesserung der regionalen Wirtschaftsstruktur – Infrastruktur"" / E ","Bewilligte Zuschüsse einschließlich Kofinanzierung Gemeinschaftsaufgabe „Verbesserung der regionalen Wirtschaftsstruktur – Infrastruktur"" / E ","Gemeinschaftsaufgabe Hochschulbau (Ist-Ausgaben)  +  Bund-Länder Hochschulabauten und Großgeräteförderung (Ist-Ausgaben) + Bewilligungen Bund-Länder Hochschulpakt und Exzellenzinitiative <Summe der Jahre> / E <Zeitpunkt>
",Gemeinschaftsaufgabe Hochschulbau (Ist-Ausgaben) / E ,"Zuschüsse zu Arbeitsbeschaffungsmaßnahmen, Strukturanpassungsmaßnahmen und Beschäftigung schaffenden Infrastrukturmaßnahmen / E ","Zuschüsse zu Arbeitsbeschaffungsmaßnahmen, Strukturanpassungsmaßnahmen und Beschäftigung schaffenden Infrastrukturmaßnahmen / E ",Direkte Projektförderung / E ,Direkte Projektförderung / E 
,,Einheit,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Prozent,Index mit Bundesdurchschnitt = 100,Index mit Bundesdurchschnitt = 100,Index mit Bundesdurchschnitt = 100,Index mit Bundesdurchschnitt = 100,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner,Euro je Einwohner
,,Anmerkungen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Der regionale Preisindex basiert auf ökonmetrischen Berechnungen auf Grundlage von Ausgangsdaten des Statistischen Bundesamt und der Statistischen Landesämter zu Miet-, Güter- und Dienstleistungspreisen.",Der regionale Preisindex basiert auf ökonmetrischen Berechnungen auf Grundlage von Ausgangsdaten des Statistischen Bundesamt und der Statistischen Landesämter zu Mietpreisen.,Der regionale Preisindex basiert auf ökonmetrischen Berechnungen auf Grundlage von Ausgangsdaten des Statistischen Bundesamt und der Statistischen Landesämter zu Güterpreisen.,Der regionale Preisindex basiert auf ökonmetrischen Berechnungen auf Grundlage von Ausgangsdaten des Statistischen Bundesamt und der Statistischen Landesämter zu Dienstleistungspreisen.,"Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Finanzhilfen Städtebauförderung. Enthält die Programmbereiche Sanierung und Entwicklung, Städtebaulicher Denkmalschutz, Soziale Stadt, Stadtumbau Ost, Stadtumbau West, Aktive Stadt- und Ortsteilzentren.","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Finanzhilfen Städtebauförderung. Enthält die Programmbereiche Sanierung und Entwicklung, Städtebaulicher Denkmalschutz, Soziale Stadt, Stadtumbau Ost, Stadtumbau West, Aktive Stadt- und Ortsteilzentren.","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Bewilligte Zuschüsse einschließlich Kofinanzierung für einzelbetriebliche Maßnahmen im Rahmen der Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur' . Enthält neben dem Bundes- auch den Landes- und den EFRE-(= EU-Struktur-Förderung).","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Bewilligte Zuschüsse einschließlich Kofinanzierung für einzelbetriebliche Maßnahmen im Rahmen der Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur' . Enthält neben dem Bundes- auch den Landes- und den EFRE-(= EU-Struktur-Förderung).","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Bewilligte Zuschüsse einschließlich Kofinanzierung für Infrastrukturmaßnahmen im Rahmen der Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur'. Enthält neben dem Bundes- auch den Landes- und den EFRE-(= EU-Struktur-Förderung).","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Bewilligte Zuschüsse einschließlich Kofinanzierung für Infrastrukturmaßnahmen im Rahmen der Gemeinschaftsaufgabe 'Verbesserung der regionalen Wirtschaftsstruktur'. Enthält neben dem Bundes- auch den Landes- und den EFRE-(= EU-Struktur-Förderung).","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Ist-Ausgaben im Rahmen der Gemeinschaftsaufgabe 'Hochschulbau' und Zusammenwirken von Bund und Ländern bei Forschungsbauten an Hochschulen (ohne Großgeräte).","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Ist-Ausgaben im Rahmen der Gemeinschaftsaufgabe 'Hochschulbau' und Zusammenwirken von Bund und Ländern bei Forschungsbauten an Hochschulen (ohne Großgeräte).","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Zuschüsse zu Arbeitsbeschaffungsmaßnahmen, Strukturanpassungsmaßnahmen und Beschäftigung schaffenden Infrastrukturmaßnahmen.","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Zuschüsse zu Arbeitsbeschaffungsmaßnahmen, Strukturanpassungsmaßnahmen und Beschäftigung schaffenden Infrastrukturmaßnahmen.","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Direkt geförderte Projekte der Ressorts BMBF, BMEL, BMFSFJ, BMI-BAMF, BMUB, BMVI, BMWi","Bevölkerung 2011,2015: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Direkt geförderte Projekte der Ressorts BMBF, BMEL, BMFSFJ, BMI-BAMF, BMUB, BMVI, BMWi"
,,Quelle,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Allgemeine Bundestagswahlstatistik des Bundes und der Länder,Weinand und von Auer (2019),Weinand und von Auer (2019),Weinand und von Auer (2019),Weinand und von Auer (2019),"Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR","Datenbank ""Raumwirksame Mittel"" des BBSR"
,,Standardisierung,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB,HIB
Kennziffer,Raumeinheit,Aggregat,Wahlbeteiligung,Wahlbeteiligung,Wahlbeteiligung,Wahlbeteiligung,Wahlbeteiligung,Wahlbeteiligung,Wahlbeteiligung,Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,Stimmenanteile SPD,Stimmenanteile SPD,Stimmenanteile SPD,Stimmenanteile SPD,Stimmenanteile SPD,Stimmenanteile SPD,Stimmenanteile SPD,Stimmenanteile Grüne,Stimmenanteile Grüne,Stimmenanteile Grüne,Stimmenanteile Grüne,Stimmenanteile Grüne,Stimmenanteile Grüne,Stimmenanteile Grüne,Stimmenanteile FDP,Stimmenanteile FDP,Stimmenanteile FDP,Stimmenanteile FDP,Stimmenanteile FDP,Stimmenanteile FDP,Stimmenanteile FDP,Stimmenanteile Die Linke,Stimmenanteile Die Linke,Stimmenanteile Die Linke,Stimmenanteile Die Linke,Stimmenanteile Die Linke,Stimmenanteile Die Linke,Stimmenanteile Die Linke,Stimmenanteile AfD,Preisniveau,Mietpreisniveau,Güterpreisniveau,Dienstleistungspreisniveau,Städtebauförderung (langfristig),Städtebauförderung (kurzfristig),GRW gewerbliche Wirtschaft (langfristig),GRW gewerbliche Wirtschaft (kurzfristig),GRW Infrastruktur (langfristig),GRW Infrastruktur (kurzfristig),Hochschulförderung (langfristig),Hochschulförderung (kurzfristig),Arbeitsmarktpolitische Hilfen (langfristig),Arbeitsmarktpolitische Hilfen (kurzfristig),Direkte Projektförderung (langfristig),Direkte Projektförderung (kurzfristig)
,,,1994,1998,2002,2005,2009,2013,2017,1994,1998,2002,2005,2009,2013,2017,1994,1998,2002,2005,2009,2013,2017,1994,1998,2002,2005,2009,2013,2017,1994,1998,2002,2005,2009,2013,2017,1994,1998,2002,2005,2009,2013,2017,2017,2016,2016,2016,2016,2008-17,2013-17,2008-17,2013-17,2008-17,2013-17,2008-17,2013-17,2008-17,2013-17,2008-17,2013-17
01001,"Flensburg, Stadt",krsfr. Stadt,75.1,75.8,73.9,72.0,65.8,65.8,70.3,34.4,29.2,29.6,28.8,24.7,30.6,27.2,46.6,51.1,48.2,43.5,28.0,35.6,24.6,9.0,7.7,11.4,10.4,16.1,11.9,15.1,6.6,6.4,7.1,8.7,14.4,4.5,10.3,1.4,1.8,1.8,6.4,11.6,8.2,11.6,7.5,98.0,95.9,101.3,92.7,176.5,126.2,156.6,139.6,62.6,0.0,3.9,2.2,4596.2,2047.2,185.3,98.0
01002,"Kiel, Stadt",krsfr. Stadt,77.9,78.7,77.2,75.9,70.6,69.7,73.5,33.2,28.0,26.9,27.8,24.4,29.1,25.9,44.5,49.2,45.1,42.3,30.0,35.3,24.1,11.9,10.3,15.3,13.1,17.6,14.4,17.5,6.2,6.9,8.0,8.4,12.9,5.1,11.4,2.0,2.4,2.3,6.2,9.9,7.3,10.7,6.9,101.9,109.4,101.0,98.0,66.0,45.8,74.8,50.2,58.4,53.4,701.5,352.2,3497.1,1600.1,1247.6,545.2
