Kennziffer,Raumeinheit,Aggregat,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Erreichbarkeit von Krankenhäusern,Nahversorgung Apotheken  Durchschnittsdistanz,"Nahversorgung Hausärzte, inkl. Kinderärzte  Durchschnittsdistanz",Nahversorgung Grundschulen  Durchschnittsdistanz,Nahversorgung Haltestellen des ÖV  Durchschnittsdistanz,Prognose Bevölkerungsentwicklung (2012-2035),Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Entwicklung Wohnflächennachfrage insgesamt (2015-2030)
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2003,2005,2007,2009,2011,2013,2015,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2010,2011,2012,2013,2014,2015,2008,2009,2010,2011,2012,2013,2014,2015,2015,2015,2015,2015,2015,2012-2035,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2015-2030
01001,"Flensburg, Stadt",krsfr. Stadt,1197.0,1224.0,1233.0,1248.0,1250.0,1312.0,1354.0,1407.0,1395.0,1387.0,1378.0,1501.0,1539.0,1547.0,1574.0,1550.0,726.0,724.0,727.0,744.0,743.0,745.0,758.0,756.0,766.0,803.0,106.8,89.2,107.3,115.8,129.0,129.6,127.3,469.1,522.9,475.4,524.7,550.1,511.6,463.5,431.4,431.9,473.5,475.9,542.6,596.5,572.0,525.4,495.3,599.3,636.5,643.3,595.5,674.4,108.6,118.0,110.3,109.5,110.1,120.5,134.1,131.1,131.1,133.2,15.6,16.7,16.6,16.2,15.9,15.1,40.4,40.2,42.0,43.5,47.1,48.7,52.9,55.5,2.9,561.6,419.8,615.0,196.0,1.0,31.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,27.0,26.0,25.0,23.0,22.0,20.0,18.0,7.7
01002,"Kiel, Stadt",krsfr. Stadt,1200.0,1242.0,1256.0,1286.0,1298.0,1332.0,1343.0,1374.0,1394.0,1396.0,1410.0,1453.0,1488.0,1537.0,1562.0,1589.0,788.0,785.0,790.0,807.0,803.0,805.0,818.0,817.0,827.0,860.0,63.7,86.2,61.2,92.9,92.4,96.4,89.8,476.2,488.8,497.6,588.0,529.0,526.5,524.0,490.0,453.7,421.5,551.4,657.1,551.1,661.6,574.9,560.9,617.6,561.1,664.4,516.4,710.3,180.1,154.3,154.2,155.2,159.2,163.0,168.3,173.3,175.6,174.8,16.7,16.7,16.3,16.1,16.4,16.4,42.3,43.4,44.6,47.3,49.7,52.2,53.7,53.2,2.2,438.2,360.8,599.5,197.6,-6.9,25.0,24.0,23.0,22.0,21.0,20.0,20.0,19.0,18.0,17.0,15.0,14.0,12.0,11.0,9.0,8.0,2.8
01003,"Lübeck, Stadt",krsfr. Stadt,1221.0,1267.0,1299.0,1355.0,1392.0,1424.0,1435.0,1453.0,1465.0,1460.0,1459.0,1486.0,1527.0,1536.0,1567.0,1606.0,782.0,778.0,782.0,799.0,796.0,798.0,811.0,810.0,821.0,852.0,136.1,148.8,116.5,172.3,165.5,165.2,162.7,471.9,428.4,436.0,473.5,489.3,436.6,429.7,423.4,391.4,417.8,419.3,454.8,517.3,546.6,484.7,473.3,563.8,527.5,594.3,608.6,602.1,186.9,185.1,187.9,168.2,164.0,182.1,184.1,184.8,183.8,182.9,18.0,17.5,17.1,17.0,16.7,16.4,42.7,44.2,44.9,47.2,49.7,52.8,54.1,56.7,5.4,715.0,535.7,712.5,208.7,-5.3,35.0,34.0,33.0,32.0,32.0,31.0,31.0,31.0,30.0,30.0,29.0,27.0,26.0,24.0,23.0,21.0,5.9
01004,"Neumünster, Stadt",krsfr. Stadt,1260.0,1324.0,1305.0,1311.0,1291.0,1330.0,1348.0,1381.0,1389.0,1383.0,1384.0,1406.0,1459.0,1492.0,1520.0,1527.0,766.0,766.0,766.0,785.0,781.0,784.0,801.0,799.0,808.0,841.0,136.8,141.2,158.0,161.8,187.4,160.7,155.4,447.9,423.0,478.0,495.6,488.2,481.3,460.6,453.1,413.0,434.9,460.2,487.1,517.9,555.6,476.9,492.0,578.8,593.9,611.2,617.9,621.7,157.1,148.5,139.7,142.4,143.3,145.5,148.8,153.7,158.5,154.7,18.2,17.5,17.7,17.9,17.8,16.1,33.5,29.1,33.2,34.8,36.4,38.2,42.4,43.4,2.2,666.8,650.1,705.5,190.5,-13.5,34.0,32.0,30.0,29.0,28.0,27.0,27.0,26.0,25.0,23.0,21.0,19.0,17.0,15.0,13.0,12.0,1.6
01051,Dithmarschen,Landkreis,1180.0,1234.0,1251.0,1297.0,1348.0,1376.0,1394.0,1431.0,1482.0,1481.0,1514.0,1580.0,1629.0,1697.0,1706.0,1744.0,704.0,707.0,715.0,736.0,736.0,742.0,759.0,761.0,774.0,807.0,102.1,130.8,102.0,128.9,128.3,133.9,133.0,403.1,397.1,391.6,454.7,477.1,418.9,405.7,401.2,485.3,397.6,423.6,505.5,519.1,527.3,456.8,509.8,547.0,565.3,585.3,697.3,697.1,146.0,142.2,100.8,102.2,100.6,103.1,105.4,106.7,107.4,107.2,11.9,11.6,11.7,11.5,11.7,11.1,15.2,13.6,13.9,16.7,17.0,19.1,19.5,21.3,16.5,2474.9,1575.8,1969.5,402.0,-6.5,21.0,21.0,21.0,22.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,22.0,21.0,19.0,5.7
01053,Herzogtum Lauenburg,Landkreis,1416.0,1469.0,1472.0,1502.0,1528.0,1572.0,1584.0,1620.0,1665.0,1692.0,1718.0,1773.0,1828.0,1822.0,1851.0,1886.0,797.0,797.0,806.0,828.0,827.0,835.0,853.0,854.0,869.0,903.0,121.5,128.5,82.3,136.5,135.6,135.4,133.3,476.9,422.9,445.6,542.1,503.4,464.1,494.1,445.7,580.3,428.0,463.7,513.4,566.8,566.7,522.5,559.7,590.7,611.8,650.8,663.0,655.7,97.7,96.2,93.6,97.3,98.4,99.5,100.3,99.8,100.7,101.3,9.2,9.0,8.9,9.0,8.8,8.3,17.9,18.2,18.1,18.8,19.1,20.4,20.7,21.0,16.6,2036.3,1541.9,1868.3,301.1,5.8,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,38.0,39.0,40.0,40.0,40.0,12.7
01054,Nordfriesland,Landkreis,1233.0,1279.0,1286.0,1330.0,1368.0,1431.0,1484.0,1546.0,1623.0,1642.0,1679.0,1770.0,1810.0,1909.0,1931.0,1956.0,667.0,666.0,675.0,695.0,694.0,701.0,717.0,719.0,733.0,772.0,85.8,104.7,74.0,109.8,110.3,112.4,112.9,411.5,379.2,396.0,402.6,433.8,428.2,422.2,413.1,379.9,546.5,606.4,709.5,682.5,753.8,697.5,569.9,691.0,674.3,702.8,715.9,783.3,134.8,134.2,134.5,133.5,136.9,142.3,141.2,143.1,146.4,146.1,7.0,7.8,7.7,7.7,7.8,7.5,13.4,14.9,14.0,15.6,14.9,18.4,18.3,20.9,17.3,2630.7,1939.8,2092.3,521.8,-3.3,43.0,43.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,39.0,37.0,35.0,33.0,30.0,28.0,7.9
01055,Ostholstein,Landkreis,1279.0,1323.0,1340.0,1399.0,1440.0,1465.0,1469.0,1490.0,1531.0,1545.0,1578.0,1679.0,1731.0,1756.0,1789.0,1833.0,732.0,733.0,740.0,760.0,760.0,765.0,783.0,785.0,800.0,835.0,135.0,159.9,122.0,167.5,173.2,180.7,179.8,442.9,401.1,405.9,422.1,432.3,426.9,410.1,401.6,372.4,393.2,383.6,425.6,463.7,504.8,481.2,494.2,572.0,562.4,592.5,607.0,651.7,99.7,101.6,98.6,98.9,99.0,102.8,104.2,104.4,105.4,107.2,9.5,9.4,9.1,9.0,8.8,8.3,13.3,13.3,14.3,16.5,17.9,21.4,22.1,20.1,10.7,1718.9,1343.5,1842.4,388.1,0.1,40.0,38.0,37.0,36.0,35.0,35.0,35.0,35.0,34.0,33.0,32.0,31.0,29.0,27.0,24.0,22.0,8.1
01056,Pinneberg,Landkreis,1512.0,1571.0,1565.0,1601.0,1610.0,1646.0,1648.0,1672.0,1720.0,1740.0,1774.0,1866.0,1918.0,1936.0,1960.0,1998.0,837.0,836.0,843.0,866.0,865.0,870.0,888.0,890.0,906.0,940.0,103.2,121.7,89.1,123.5,133.4,126.8,120.7,603.3,560.1,548.6,569.0,591.1,579.9,582.0,558.3,544.7,549.3,587.8,685.7,698.4,721.2,676.5,719.5,773.4,759.2,810.0,832.3,877.2,96.3,92.7,94.1,95.8,96.3,101.2,100.9,101.4,102.1,100.8,8.2,8.0,7.8,7.8,8.0,8.0,20.7,18.5,20.0,21.2,22.5,23.5,23.4,23.6,12.4,1058.6,846.3,866.7,343.6,7.3,36.0,36.0,36.0,37.0,37.0,37.0,37.0,37.0,37.0,38.0,39.0,40.0,41.0,42.0,42.0,42.0,12.5
